t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774779801215,4256,4500,-16088,42,70,-21,Idle,day3_me
1774779801215,4360,4504,-16140,27,64,-47,Idle,day3_me
1774779801215,4344,4572,-16112,14,78,-89,Idle,day3_me
1774779801215,4304,4520,-16100,-11,28,-149,Idle,day3_me
1774779801221,4288,4484,-16184,-51,-12,-130,Idle,day3_me
1774779801229,4160,4392,-16232,-71,-93,-35,Idle,day3_me
1774779801229,4200,4452,-15988,60,-192,10,Idle,day3_me
1774779801229,4132,4464,-15952,116,-210,-41,Idle,day3_me
1774779801229,4012,4460,-16040,33,-132,-140,Idle,day3_me
1774779801231,4052,4452,-16024,-114,70,-149,Idle,day3_me
1774779801277,4068,4388,-16160,94,74,-183,Idle,day3_me
1774779801277,4072,4292,-16160,-2,124,-109,Idle,day3_me
1774779801277,4108,4264,-16064,16,46,-85,Idle,day3_me
1774779801277,4088,4244,-16172,39,21,-15,Idle,day3_me
1774779801277,4156,4260,-16200,-10,27,68,Idle,day3_me
1774779801340,4232,4372,-16164,-25,-12,134,Idle,day3_me
1774779801340,4208,4344,-16212,28,-93,82,Idle,day3_me
1774779801340,4140,4476,-16184,-16,-82,23,Idle,day3_me
1774779801340,4236,4532,-16112,-41,-25,-75,Idle,day3_me
1774779801340,4184,4460,-16104,-50,35,-127,Idle,day3_me
1774779801446,4144,4520,-16164,-69,11,-151,Idle,day3_me
1774779801446,4140,4416,-16176,-6,-14,-117,Idle,day3_me
1774779801446,4084,4396,-16136,-70,-81,-105,Idle,day3_me
1774779801446,4092,4420,-16124,-44,-56,-73,Idle,day3_me
1774779801446,4048,4348,-16124,-77,-138,2,Idle,day3_me
1774779801446,4004,4552,-16016,103,1,88,Idle,day3_me
1774779801462,4092,4468,-16000,63,24,84,Idle,day3_me
1774779801462,4012,4504,-16076,-45,69,-1,Idle,day3_me
1774779908174,3240,3256,-16516,-15,463,-115,Idle,day3_me
1774779908595,3272,3352,-16456,267,378,-190,Idle,day3_me
1774779908600,3316,3184,-16464,171,356,-226,Idle,day3_me
1774779908600,3280,3192,-16548,-193,359,-291,Idle,day3_me
1774779908600,3348,3308,-16388,-333,455,-431,Idle,day3_me
1774779908600,3312,3396,-16552,-237,501,-336,Idle,day3_me
1774779908600,3256,3240,-16484,-323,92,-399,Idle,day3_me
1774779908600,3208,3220,-16528,-358,175,-316,Idle,day3_me
1774779908600,3348,3320,-16576,-254,239,-170,Idle,day3_me
1774779908600,3424,3348,-16668,-193,37,-285,Idle,day3_me
1774779908600,3368,3264,-16600,-198,-81,-334,Idle,day3_me
1774779908600,3260,3232,-16540,-381,58,-248,Idle,day3_me
1774779908600,3376,3376,-16492,-158,81,-73,Idle,day3_me
1774779908600,3224,3384,-16532,76,262,-208,Idle,day3_me
1774779908600,3232,3208,-16712,-72,367,-305,Idle,day3_me
1774779908600,3272,3192,-16572,-265,314,-335,Idle,day3_me
1774779908614,3328,3412,-16632,-71,532,-174,Idle,day3_me
1774779908614,3460,3380,-16836,131,233,-98,Idle,day3_me
1774779908614,3564,3288,-16856,-33,-135,-16,Idle,day3_me
1774779908614,3496,3324,-16636,-109,-356,-93,Idle,day3_me
1774779908620,3216,3240,-16504,0,-298,-53,Idle,day3_me
1774779908627,3312,3124,-16564,-155,126,-10,Idle,day3_me
1774779908627,3356,3220,-16784,-240,-17,226,Idle,day3_me
1774779908627,3508,3328,-16684,5,-147,213,Idle,day3_me
1774779908630,3232,3356,-16636,170,-223,247,Idle,day3_me
1774779908630,3308,3308,-16528,207,-41,235,Idle,day3_me
1774779908630,3372,3424,-16664,24,170,217,Idle,day3_me
1774779908630,3552,3560,-16852,103,-114,291,Idle,day3_me
1774779908630,3616,3548,-16768,178,-590,355,Idle,day3_me
1774779908630,3452,3596,-16632,246,-810,243,Idle,day3_me
1774779908636,3280,3492,-16500,178,-557,142,Idle,day3_me
1774779908636,3476,3436,-16492,32,-83,134,Idle,day3_me
1774779908636,3488,3608,-16564,193,124,-84,Idle,day3_me
1774779908636,3448,3520,-16704,267,173,-66,Idle,day3_me
1774779908636,3556,3372,-16560,176,134,-105,Idle,day3_me
1774779908636,3532,3316,-16708,40,180,-152,Idle,day3_me
1774779908636,3672,3460,-16772,330,-25,-10,Idle,day3_me
1774779908636,3720,3496,-16856,535,-301,-8,Idle,day3_me
1774779908675,3456,3412,-16784,664,-268,-78,Idle,day3_me
1774779908740,3324,3160,-16728,549,-25,-223,Idle,day3_me
1774779908740,3364,3068,-16728,174,-34,-207,Idle,day3_me
1774779908740,3452,3256,-16624,-277,-407,-241,Idle,day3_me
1774779908740,3308,3180,-16660,-53,-345,-247,Idle,day3_me
1774779908740,3332,3236,-16724,-8,-275,-184,Idle,day3_me
1774779908740,3416,3344,-16720,165,-505,-118,Idle,day3_me
1774779908740,3452,3208,-16680,113,-799,-119,Idle,day3_me
1774779908740,2956,3016,-16460,-111,-519,-172,Idle,day3_me
1774779908779,2920,3064,-16396,-242,-305,-113,Idle,day3_me
1774779908779,2984,3148,-16524,-198,-189,-125,Idle,day3_me
1774779908779,2960,3144,-16408,-224,76,-116,Idle,day3_me
1774779908779,3276,3396,-16440,-125,147,38,Idle,day3_me
1774779908808,3268,3372,-16544,64,-29,42,Idle,day3_me
1774779908808,3196,3064,-16640,20,-24,67,Idle,day3_me
1774779908825,3116,3124,-16648,-91,-103,149,Idle,day3_me
1774779908825,3072,3184,-16580,-46,-30,183,Idle,day3_me
1774779908838,3276,3176,-16732,-233,197,181,Idle,day3_me
1774779908855,3296,3264,-16676,-124,135,156,Idle,day3_me
1774779908886,3232,3284,-16768,-52,87,131,Idle,day3_me
1774779908902,3240,3192,-16596,-92,185,213,Idle,day3_me
1774779908902,3148,3144,-16660,-105,135,217,Idle,day3_me
1774779908902,3176,3260,-16708,-110,213,318,Idle,day3_me
1774779908915,3256,3216,-16720,38,183,420,Idle,day3_me
1774779908931,3328,3388,-16836,11,38,489,Idle,day3_me
1774779908947,3340,3312,-16800,130,19,443,Idle,day3_me
1774779908947,3380,3284,-16868,181,-52,330,Idle,day3_me
1774779908953,3412,3244,-16872,-197,-139,75,Idle,day3_me
1774779908970,3408,3352,-16740,-332,-206,24,Idle,day3_me
1774779908995,3360,3380,-16668,-125,-231,145,Idle,day3_me
1774779908995,3308,3368,-16732,40,-256,261,Idle,day3_me
1774779908995,3252,3400,-16728,92,-374,269,Idle,day3_me
1774779909010,3100,3284,-16492,-74,-306,152,Idle,day3_me
1774779909031,3032,3340,-16544,-74,-136,174,Idle,day3_me
1774779909042,3160,3332,-16512,54,25,220,Idle,day3_me
1774779909058,3152,3316,-16528,50,62,308,Idle,day3_me
1774779909058,3176,3364,-16492,28,51,294,Idle,day3_me
1774779909080,3168,3432,-16532,172,-296,342,Idle,day3_me
1774779909105,3152,3332,-16360,120,-340,293,Idle,day3_me
1774779909105,3040,3236,-16512,138,-389,289,Idle,day3_me
1774779909124,3040,3092,-16468,122,-436,421,Idle,day3_me
1774779909137,3008,3136,-16492,147,-356,488,Idle,day3_me
1774779909137,2924,3040,-16576,101,-290,618,Idle,day3_me
1774779909153,3052,3040,-16664,-18,-284,586,Idle,day3_me
1774779909170,2996,3132,-16552,-145,-158,583,Idle,day3_me
1774779909187,3028,3248,-16492,-38,39,519,Idle,day3_me
1774779909217,3088,3220,-16552,-22,232,441,Idle,day3_me
1774779909217,3368,3116,-17044,-176,-115,244,Idle,day3_me
1774779909217,3368,3276,-16928,-287,-275,291,Idle,day3_me
1774779909232,3308,3424,-16740,-32,-385,251,Idle,day3_me
1774779909241,3032,3172,-16732,256,-340,256,Idle,day3_me
1774779909248,3096,3032,-16760,209,-264,336,Idle,day3_me
1774779909248,3148,3160,-16772,49,-116,415,Idle,day3_me
1774779909264,3176,3184,-16792,7,-69,398,Idle,day3_me
1774779909280,3188,3184,-16868,-18,-128,382,Idle,day3_me
1774779909296,3164,3180,-16784,84,-114,383,Idle,day3_me
1774779909328,3136,3124,-16712,169,-129,379,Idle,day3_me
1774779909328,3156,3108,-16784,24,-80,349,Idle,day3_me
1774779909328,3308,3192,-16984,58,-101,296,Idle,day3_me
1774779909344,3240,3204,-16884,112,-193,249,Idle,day3_me
1774779909360,3144,3020,-16756,1,-292,224,Idle,day3_me
1774779909375,3056,3008,-16852,-108,-219,223,Idle,day3_me
1774779909375,2960,3220,-16644,35,-44,467,Idle,day3_me
1774779909391,3092,3356,-16628,218,12,615,Idle,day3_me
1774779909410,3100,3364,-16760,293,66,569,Idle,day3_me
1774779909439,3208,3416,-16684,235,50,497,Idle,day3_me
1774779909439,3248,3512,-16704,148,71,334,Idle,day3_me
1774779909439,3404,3504,-16804,42,93,111,Idle,day3_me
1774779909455,3484,3504,-16904,-11,-70,-11,Idle,day3_me
1774779909471,3496,3604,-16728,78,-220,-67,Idle,day3_me
1774779909487,3300,3500,-16728,211,-226,-147,Idle,day3_me
1774779909491,3312,3320,-16836,251,-152,-57,Idle,day3_me
1774779909502,3352,3248,-16828,84,-243,-250,Idle,day3_me
1774779909507,3272,3316,-16740,-2,-278,-282,Idle,day3_me
1774779909523,3116,3140,-16640,15,-198,-317,Idle,day3_me
1774779909553,3152,3120,-16652,54,-282,-209,Idle,day3_me
1774779909565,3148,3248,-16728,307,-323,-207,Idle,day3_me
1774779909565,3028,3024,-16628,270,-219,-343,Idle,day3_me
1774779909613,2932,3004,-16564,162,-108,-348,Idle,day3_me
1774779909613,3096,3040,-16664,146,-129,-365,Idle,day3_me
1774779909613,3120,3056,-16720,229,-224,-382,Idle,day3_me
1774779909613,3016,2996,-16712,219,-340,-401,Idle,day3_me
1774779909613,2768,2936,-16544,-2,-116,-396,Idle,day3_me
1774779909680,2872,2780,-16676,-40,50,-242,Idle,day3_me
1774779909680,2940,2924,-16656,-17,50,-57,Idle,day3_me
1774779909680,2988,3084,-16592,66,-153,-48,Idle,day3_me
1774779909693,2828,2988,-16480,145,-207,-58,Idle,day3_me
1774779909693,2796,2900,-16620,-85,136,-58,Idle,day3_me
1774779909740,2876,3036,-16608,-116,189,26,Idle,day3_me
1774779909740,3068,3136,-16668,-67,142,48,Idle,day3_me
1774779909740,3032,3120,-16484,-60,54,24,Idle,day3_me
1774779909740,2900,3108,-16608,-48,167,90,Idle,day3_me
1774779909745,3140,3096,-16876,-163,385,87,Idle,day3_me
1774779909788,3252,3088,-16776,-104,184,119,Idle,day3_me
1774779909788,3288,3204,-16904,9,-107,252,Idle,day3_me
1774779909788,3292,3280,-16716,38,-183,108,Idle,day3_me
1774779909804,3052,3260,-16788,-50,-77,-91,Idle,day3_me
1774779909804,3160,3144,-16760,-283,71,-119,Idle,day3_me
1774779909856,3264,3252,-16816,-70,33,-133,Idle,day3_me
1774779909856,3136,3292,-16752,20,-65,-128,Idle,day3_me
1774779909856,2976,3152,-16724,27,-62,-114,Idle,day3_me
1774779909856,2944,3136,-16596,32,31,-58,Idle,day3_me
1774779909856,3044,3112,-16932,55,-134,14,Idle,day3_me
1774779909980,2976,3196,-16680,19,-208,-8,Idle,day3_me
1774779909980,2800,3192,-16620,57,-62,-105,Idle,day3_me
1774779909980,2800,3044,-16640,35,154,-104,Idle,day3_me
1774779909980,2912,3032,-16684,-2,236,-66,Idle,day3_me
1774779909980,3136,3204,-16704,105,40,63,Idle,day3_me
1774779909980,3160,3228,-16744,126,-11,60,Idle,day3_me
1774779909980,3036,3120,-16764,49,22,-51,Idle,day3_me
1774779909998,3064,3124,-16808,-77,115,-68,Idle,day3_me
1774779910002,3204,3112,-16884,-154,21,-48,Idle,day3_me
1774779910002,3016,3176,-16704,74,-308,-92,Idle,day3_me
1774779910026,2944,3040,-16656,56,-98,-80,Idle,day3_me
1774779910042,2940,2968,-16616,-27,66,-27,Idle,day3_me
1774779910042,3056,3136,-16692,-25,79,-4,Idle,day3_me
1774779910042,3160,3160,-16732,185,61,38,Idle,day3_me
1774779910042,3124,3052,-16720,-54,29,-135,Idle,day3_me
1774779910090,3032,3076,-16828,-92,180,-148,Idle,day3_me
1774779910090,3152,3132,-16708,16,203,-103,Idle,day3_me
1774779910090,3296,3072,-16836,150,-88,-85,Idle,day3_me
1774779910090,3064,3128,-16720,47,-159,-101,Idle,day3_me
1774779910090,2988,3096,-16548,78,-60,-52,Idle,day3_me
1774779910153,3020,3072,-16808,83,-98,-20,Idle,day3_me
1774779910153,2968,3056,-16568,74,-122,-25,Idle,day3_me
1774779910153,2872,3020,-16564,84,8,-38,Idle,day3_me
1774779910153,2856,3032,-16616,-29,188,-11,Idle,day3_me
1774779910153,3088,3072,-16844,-9,50,77,Idle,day3_me
1774779910218,3128,3036,-16812,-41,-38,-6,Idle,day3_me
1774779910218,2964,3052,-16712,-3,-27,-22,Idle,day3_me
1774779910218,2932,3032,-16716,26,81,22,Idle,day3_me
1774779910218,3004,3116,-16744,-28,197,-37,Idle,day3_me
1774779910218,3092,3076,-16644,33,34,-79,Idle,day3_me
1774779910280,2932,2972,-16664,-28,83,-54,Idle,day3_me
1774779910280,2924,3008,-16708,-24,110,5,Idle,day3_me
1774779910280,2996,3052,-16552,49,26,62,Idle,day3_me
1774779910280,3088,2976,-16648,-53,21,55,Idle,day3_me
1774779910280,2940,2948,-16612,-77,135,-5,Idle,day3_me
1774779910331,2892,3164,-16660,-168,191,29,Idle,day3_me
1774779910331,2880,3124,-16592,-71,161,47,Idle,day3_me
1774779910343,2916,3120,-16552,-17,257,135,Idle,day3_me
1774779910343,2984,3292,-16628,18,376,172,Idle,day3_me
1774779910343,3224,3268,-16892,74,326,129,Idle,day3_me
1774779910396,3408,3296,-16900,95,140,34,Idle,day3_me
1774779910396,3240,3328,-16764,135,57,-48,Idle,day3_me
1774779910396,3112,3176,-16732,124,272,-82,Idle,day3_me
1774779910396,3244,3080,-16796,74,428,-120,Idle,day3_me
1774779910396,3388,3092,-17032,-53,210,-198,Idle,day3_me
1774779910454,3416,3212,-17068,-180,33,-209,Idle,day3_me
1774779910464,3184,3204,-16984,-98,-38,-236,Idle,day3_me
1774779910467,3096,2992,-16960,-46,50,-210,Idle,day3_me
1774779910467,3252,3024,-17012,-107,69,-158,Idle,day3_me
1774779910470,3284,3072,-16848,113,-383,-120,Idle,day3_me
1774779910520,3128,3096,-16860,81,-352,-168,Idle,day3_me
1774779910520,3040,3000,-16700,-29,-179,-275,Idle,day3_me
1774779910520,3068,3016,-16720,-122,-126,-227,Idle,day3_me
1774779910520,3212,3084,-16572,-14,-174,-94,Idle,day3_me
1774779910520,2988,3100,-16600,45,-256,-273,Idle,day3_me
1774779910581,2888,2948,-16540,-34,-242,-217,Idle,day3_me
1774779910581,2880,2948,-16440,-129,-180,-196,Idle,day3_me
1774779910581,2908,3036,-16512,-8,-154,-50,Idle,day3_me
1774779910581,2860,3036,-16432,-2,-122,-113,Idle,day3_me
1774779910581,2760,2948,-16420,13,250,-60,Idle,day3_me
1774779910635,2820,3072,-16544,-67,304,-89,Idle,day3_me
1774779910643,3032,3124,-16668,-42,209,-109,Idle,day3_me
1774779910643,3064,3020,-16632,-71,82,-114,Idle,day3_me
1774779910643,2988,3072,-16584,-53,132,0,Idle,day3_me
1774779910644,3072,3044,-16556,181,362,156,Idle,day3_me
1774779910697,3264,3132,-16772,84,323,200,Idle,day3_me
1774779910703,3328,3180,-16912,109,220,39,Idle,day3_me
1774779910703,3244,3184,-16724,78,139,-66,Idle,day3_me
1774779910760,3160,3124,-16864,19,217,-176,Idle,day3_me
1774779910760,3204,3096,-16880,-38,16,-155,Idle,day3_me
1774779910760,3104,3140,-16920,-21,-9,-138,Idle,day3_me
1774779910760,3152,3108,-16872,-12,-110,-84,Idle,day3_me
1774779910771,3096,3048,-16764,48,-148,-6,Idle,day3_me
1774779910771,2944,3108,-16720,56,-73,-44,Idle,day3_me
1774779910771,3024,3052,-16788,4,117,-61,Idle,day3_me
1774779910819,3068,3176,-16912,36,-25,-35,Idle,day3_me
1774779910819,2980,3176,-16780,172,-101,-34,Idle,day3_me
1774779910819,2916,3132,-16708,284,-23,34,Idle,day3_me
1774779910867,2860,2952,-16848,175,-20,10,Idle,day3_me
1774779910883,2940,3088,-16864,127,-62,10,Idle,day3_me
1774779910883,3012,3112,-16740,204,51,85,Idle,day3_me
1774779910883,2972,3088,-16864,222,132,157,Idle,day3_me
1774779910885,3004,3072,-16896,176,92,132,Idle,day3_me
1774779910885,3092,3132,-16952,256,-9,148,Idle,day3_me
1774779910885,3236,3248,-16932,397,-182,173,Idle,day3_me
1774779910930,3080,2872,-16796,165,-320,51,Idle,day3_me
1774779910930,3036,3212,-16928,36,-255,111,Idle,day3_me
1774779910930,3100,3136,-16500,203,-106,-59,Idle,day3_me
1774779910999,3028,3312,-16672,368,-84,-3,Idle,day3_me
1774779910999,3252,3116,-16692,222,-307,-236,Idle,day3_me
1774779910999,3136,3180,-16712,313,-444,-156,Idle,day3_me
1774779910999,3136,3140,-16676,265,-364,-169,Idle,day3_me
1774779910999,2960,3136,-16524,307,-294,-180,Idle,day3_me
1774779910999,2968,3028,-16604,192,-94,-238,Idle,day3_me
1774779910999,3040,2988,-16612,104,-14,-360,Idle,day3_me
1774779911057,2988,2968,-16640,31,4,-403,Idle,day3_me
1774779911057,3032,2940,-16712,42,-72,-326,Idle,day3_me
1774779911057,2984,2968,-16580,165,-93,-282,Idle,day3_me
1774779911057,2844,2804,-16664,128,9,-260,Idle,day3_me
1774779911057,2896,2680,-16668,133,134,-253,Idle,day3_me
1774779911121,2956,2708,-16684,41,156,-117,Idle,day3_me
1774779911121,3040,2736,-16732,52,25,-100,Idle,day3_me
1774779911121,3004,2836,-16668,192,-36,-39,Idle,day3_me
1774779911121,2948,2772,-16828,98,8,-38,Idle,day3_me
1774779911121,3008,2812,-16820,121,-7,48,Idle,day3_me
1774779911169,3072,2904,-16796,205,29,9,Idle,day3_me
1774779911169,3076,2892,-16704,5,-19,-52,Idle,day3_me
1774779911169,3008,2848,-16716,-84,34,-101,Idle,day3_me
1774779911169,3044,2896,-16720,-33,82,-111,Idle,day3_me
1774779911184,3188,2908,-16780,-239,-66,-59,Idle,day3_me
1774779911300,2940,2928,-16624,-83,-114,-12,Idle,day3_me
1774779911300,2808,2804,-16712,46,-40,68,Idle,day3_me
1774779911300,2840,2796,-16644,-36,124,131,Idle,day3_me
1774779911300,2968,2888,-16760,-106,194,171,Idle,day3_me
1774779911300,2916,3036,-16744,-148,254,44,Idle,day3_me
1774779911300,3028,3012,-16768,-143,265,81,Idle,day3_me
1774779911300,3144,3064,-16888,-35,173,140,Idle,day3_me
1774779911300,3244,3124,-16860,79,94,180,Idle,day3_me
1774779911308,3216,3100,-16908,72,67,84,Idle,day3_me
1774779911308,3256,3056,-16960,23,3,2,Idle,day3_me
1774779911358,3196,2960,-17016,-7,-54,-125,Idle,day3_me
1774779911358,3124,2896,-17016,-86,-72,-160,Idle,day3_me
1774779911358,3136,2872,-17060,-115,-89,-109,Idle,day3_me
1774779911358,3144,2968,-16992,-63,-152,-35,Idle,day3_me
1774779911358,3028,2940,-16944,-46,-241,-26,Idle,day3_me
1774779911409,3024,2780,-16836,-105,-186,-22,Idle,day3_me
1774779911422,2888,2992,-16816,-131,-206,-11,Idle,day3_me
1774779911422,2924,3036,-16772,-101,-291,-79,Idle,day3_me
1774779911422,2872,2940,-16760,-83,-300,-79,Idle,day3_me
1774779911422,2860,2832,-16688,-77,-25,72,Idle,day3_me
1774779911485,2880,2992,-16636,45,-105,192,Idle,day3_me
1774779911485,2964,2960,-16708,154,-143,95,Idle,day3_me
1774779911485,2852,2924,-16668,44,-200,96,Idle,day3_me
1774779911485,2768,2956,-16612,-30,-21,60,Idle,day3_me
1774779911485,2908,3032,-16744,20,67,97,Idle,day3_me
1774779911533,2972,2976,-16696,-30,-35,72,Idle,day3_me
1774779911542,2956,3164,-16612,19,-84,54,Idle,day3_me
1774779911552,2780,3028,-16540,20,53,-71,Idle,day3_me
1774779911552,2828,2928,-16604,-77,228,-62,Idle,day3_me
1774779911552,3136,3084,-16836,43,12,93,Idle,day3_me
1774779911601,3092,3012,-16712,43,-109,7,Idle,day3_me
1774779911601,2924,2904,-16784,-57,-27,-47,Idle,day3_me
1774779911601,2944,2860,-16788,-154,105,-31,Idle,day3_me
1774779911601,3044,2992,-16832,-175,179,-35,Idle,day3_me
1774779911601,3064,2996,-16764,-77,-115,-46,Idle,day3_me
1774779911780,2972,2980,-16700,-115,-129,-71,Idle,day3_me
1774779911780,2896,2972,-16712,-90,6,-81,Idle,day3_me
1774779911780,2840,2948,-16732,-159,106,-98,Idle,day3_me
1774779911780,2948,2996,-16808,-127,182,11,Idle,day3_me
1774779911780,3008,2996,-16696,-1,27,-11,Idle,day3_me
1774779911787,2960,2972,-16748,-12,113,11,Idle,day3_me
1774779911791,2960,2936,-16724,-72,89,27,Idle,day3_me
1774779911791,3000,2984,-16768,-145,68,-33,Idle,day3_me
1774779911791,2936,2960,-16732,-179,113,-123,Idle,day3_me
1774779911791,2968,2992,-16808,-151,376,-51,Idle,day3_me
1774779911791,3092,3000,-16856,-25,297,44,Idle,day3_me
1774779911791,3188,3032,-16948,8,18,51,Idle,day3_me
1774779911791,3108,3008,-16916,-18,-82,-34,Idle,day3_me
1774779911791,2960,2988,-16788,-50,16,-45,Idle,day3_me
1774779911791,2896,3036,-16612,-195,242,-61,Idle,day3_me
1774779911791,2844,3144,-16688,-54,434,-55,Idle,day3_me
1774779911840,3040,3112,-16860,89,428,-8,Idle,day3_me
1774779911840,3204,3128,-16812,75,154,68,Idle,day3_me
1774779911851,3216,3208,-16844,174,-112,17,Idle,day3_me
1774779911851,3028,3008,-16788,150,80,-70,Idle,day3_me
1774779911899,3080,2932,-16744,-16,211,-140,Idle,day3_me
1774779911903,3156,3008,-16804,-140,232,-177,Idle,day3_me
1774779911903,3084,2984,-17060,-43,153,-241,Idle,day3_me
1774779911903,3128,2968,-16836,44,-28,-79,Idle,day3_me
1774779911903,3028,2988,-16796,228,-133,-70,Idle,day3_me
1774779911951,2908,2856,-16800,105,-111,-135,Idle,day3_me
1774779911963,2904,2848,-16840,-22,16,-143,Idle,day3_me
1774779911963,3044,2924,-16852,-97,54,-123,Idle,day3_me
1774779911963,3092,2892,-16772,-132,-50,-140,Idle,day3_me
1774779911963,2928,2944,-16632,36,-21,-4,Idle,day3_me
1774779912012,2912,2908,-16688,49,90,49,Idle,day3_me
1774779912012,3120,2984,-16776,74,19,97,Idle,day3_me
1774779912074,3024,2936,-16704,6,-166,5,Idle,day3_me
1774779912074,3012,3020,-16692,-68,-165,-61,Idle,day3_me
1774779912074,2888,2964,-16636,-130,112,-19,Idle,day3_me
1774779912074,3060,2960,-16692,-114,121,-24,Idle,day3_me
1774779912074,3088,3048,-16720,-64,43,60,Idle,day3_me
1774779912086,3056,3000,-16644,31,-27,101,Idle,day3_me
1774779912086,3008,3028,-16728,69,-29,104,Idle,day3_me
1774779912086,3028,2948,-16672,-185,57,-151,Idle,day3_me
1774779912137,2948,2984,-16692,-234,55,-132,Idle,day3_me
1774779912137,2872,2900,-16676,-162,142,-80,Idle,day3_me
1774779912137,2992,2880,-16740,-68,135,67,Idle,day3_me
1774779912143,3068,3048,-16656,26,-20,132,Idle,day3_me
1774779912143,2928,3104,-16680,36,196,82,Idle,day3_me
1774779912201,2880,3100,-16664,-44,377,2,Idle,day3_me
1774779912201,3100,3140,-16836,-125,328,-6,Idle,day3_me
1774779912201,3228,3232,-16776,7,238,-3,Idle,day3_me
1774779912201,3180,3240,-16868,71,78,-45,Idle,day3_me
1774779912201,3048,3032,-16764,75,184,-134,Idle,day3_me
1774779912318,3072,2976,-16856,-31,297,-202,Idle,day3_me
1774779912318,3232,3024,-16868,-46,235,-141,Idle,day3_me
1774779912318,3280,3080,-16940,127,-22,-67,Idle,day3_me
1774779912318,3232,3024,-16936,154,-105,-124,Idle,day3_me
1774779912318,3012,2868,-16776,37,-13,-193,Idle,day3_me
1774779912318,3012,2884,-16868,-126,-1,-202,Idle,day3_me
1774779912318,3056,2980,-16848,-219,-73,-202,Idle,day3_me
1774779912327,3000,3048,-16748,-120,-182,-247,Idle,day3_me
1774779912327,2916,3016,-16840,-10,-143,-127,Idle,day3_me
1774779912327,2916,2964,-16664,163,-137,-36,Idle,day3_me
1774779912502,2936,2904,-16652,-66,-70,-180,Idle,day3_me
1774779912504,2880,2888,-16552,-135,84,-138,Idle,day3_me
1774779912504,2800,2936,-16712,-52,134,-41,Idle,day3_me
1774779912504,2812,2916,-16688,98,94,21,Idle,day3_me
1774779912504,2884,2872,-16684,50,81,75,Idle,day3_me
1774779912504,2844,2944,-16692,153,175,140,Idle,day3_me
1774779912504,2936,2872,-16748,85,245,126,Idle,day3_me
1774779912504,3056,2968,-16796,-37,186,106,Idle,day3_me
1774779912504,3128,3076,-16764,12,107,37,Idle,day3_me
1774779912504,3036,2884,-16852,-91,172,-85,Idle,day3_me
1774779912504,3160,2992,-16892,-65,170,37,Idle,day3_me
1774779912504,3136,3060,-16828,55,95,81,Idle,day3_me
1774779912504,3188,2920,-16976,54,127,88,Idle,day3_me
1774779912504,3184,3048,-16832,-5,-52,45,Idle,day3_me
1774779912504,3144,2924,-16916,-45,-155,16,Idle,day3_me
1774779912504,3164,3012,-16792,-17,-34,10,Idle,day3_me
1774779912680,3088,3032,-16856,-102,-74,-68,Idle,day3_me
1774779912680,2988,3028,-16832,-75,-106,-67,Idle,day3_me
1774779912680,2968,2960,-16768,-107,3,-26,Idle,day3_me
1774779912680,3008,3084,-16704,-61,-3,13,Idle,day3_me
1774779912680,2956,3012,-16740,10,-74,44,Idle,day3_me
1774779912680,2884,3056,-16676,-34,25,-10,Idle,day3_me
1774779912680,2924,2944,-16636,-17,108,22,Idle,day3_me
1774779912680,3004,3072,-16724,25,49,26,Idle,day3_me
1774779912680,3052,2976,-16740,-70,-20,17,Idle,day3_me
1774779912680,2896,3088,-16648,11,86,-60,Idle,day3_me
1774779912680,2960,2988,-16704,-25,210,-63,Idle,day3_me
1774779912680,3004,3008,-16732,-46,202,19,Idle,day3_me
1774779912680,3100,3136,-16844,161,69,12,Idle,day3_me
1774779912680,3008,3020,-16640,259,27,-3,Idle,day3_me
1774779912680,2960,2944,-16680,191,317,-26,Idle,day3_me
1774779912742,3108,2940,-16884,128,291,17,Idle,day3_me
1774779912742,3180,2904,-16960,3,122,17,Idle,day3_me
1774779912742,3168,3020,-16852,-30,31,-20,Idle,day3_me
1774779912742,3088,2984,-16780,84,19,-26,Idle,day3_me
1774779912797,3144,2960,-16840,15,-16,-113,Idle,day3_me
1774779912803,3156,3008,-16804,-77,-7,-67,Idle,day3_me
1774779912803,3096,2992,-16776,-143,44,-130,Idle,day3_me
1774779912803,3004,3040,-16736,10,14,-103,Idle,day3_me
1774779912803,3040,2956,-16724,31,63,-31,Idle,day3_me
1774779912851,3084,3060,-16856,47,18,-143,Idle,day3_me
1774779912851,2944,2944,-16796,-7,56,-175,Idle,day3_me
1774779912851,2964,2924,-16828,-1,120,-100,Idle,day3_me
1774779912851,3132,2956,-16768,39,13,-29,Idle,day3_me
1774779912851,3168,3040,-16788,77,-119,-65,Idle,day3_me
1774779912914,2964,2888,-16756,-121,96,-207,Idle,day3_me
1774779912914,2992,2856,-16680,-91,102,-214,Idle,day3_me
1774779912914,2952,2888,-16624,-123,142,-218,Idle,day3_me
1774779912935,2964,2896,-16808,-75,135,-172,Idle,day3_me
1774779912935,3008,2908,-16692,-12,61,-66,Idle,day3_me
1774779912978,3008,2816,-16760,156,26,64,Idle,day3_me
1774779912978,2960,2764,-16764,101,104,71,Idle,day3_me
1774779912978,3032,2832,-16700,-24,112,37,Idle,day3_me
1774779912978,3040,2872,-16756,-79,164,25,Idle,day3_me
